Node,Mutants,Unique Tests,Tests
Xac,"{'11769', '11770'}","{4674, 591, 13695}","{4674, 591, 13695}"
Xaf,"{'6257', '6079'}","{6664, 8883}","{6664, 8883}"
Xb0,{'11929'},"{464, 994, 5910, 792, 4075}","{464, 994, 5910, 792, 4075}"
Xb2,"{'2725', '1556', '2722', '1555', '2376'}","{1536, 14080, 14339, 7, 7947, 2831, 10768, 5137, 10001, 786, 1820, 5149, 13087, 5664, 8226, 551, 10791, 2349, 13102, 7736, 8762, 829, 5696, 11584, 12098, 2628, 12612, 13129, 7244, 8269, 1102, 6223, 14415, 80, 78, 844, 14669, 2896, 7508, 3674, 12891, 4189, 7263, 13409, 11114, 6506, 3436, 13677, 1134, 13942, 4985, 11130, 12411, 13438, 13695, 3716, 7046, 2953, 10637, 8848, 6292, 11157, 2200, 2715, 12444, 13213, 11678, 10399, 420, 166, 9647, 6832, 9912, 14780, 1725, 11198, 7871, 14533, 2502, 6861, 1233, 8660, 13525, 11482, 8925, 8927, 1251, 2277, 742, 4073, 3819, 7147, 3821, 10221, 13551, 14064, 11245, 242, 1517, 3058, 4596, 9720, 9723, 7165, 3070}","{1536, 14080, 14339, 7, 7947, 2831, 10768, 5137, 10001, 786, 1820, 5149, 13087, 5664, 8226, 551, 10791, 2349, 13102, 7736, 8762, 829, 5696, 11584, 12098, 2628, 12612, 13129, 7244, 8269, 1102, 6223, 14415, 80, 78, 844, 14669, 2896, 7508, 3674, 12891, 4189, 7263, 13409, 11114, 6506, 3436, 13677, 1134, 13942, 4985, 11130, 12411, 13438, 13695, 3716, 7046, 2953, 10637, 8848, 6292, 11157, 2200, 2715, 12444, 13213, 11678, 10399, 420, 166, 9647, 6832, 9912, 14780, 1725, 11198, 7871, 14533, 2502, 6861, 1233, 8660, 13525, 11482, 8925, 8927, 1251, 2277, 742, 4073, 3819, 7147, 3821, 10221, 13551, 14064, 11245, 242, 1517, 3058, 4596, 9720, 9723, 7165, 3070}"
Xb7,{'2215'},"{1563, 1052}","{1563, 1052}"
Xb9,{'1346'},"{5664, 786, 1396, 551}","{5664, 786, 1396, 551}"
Xba,{'3719'},"{6880, 191}","{6880, 191}"
Xbe,"{'3317', '3318'}","{162, 11245}","{832, 8546, 162, 10791, 11245, 1102}"
Xc1,{'475'},{14792},{14792}
Xc4,{'7210'},"{106, 2436, 967}","{967, 2436, 106, 3335}"
Xc8,{'9583'},"{1536, 14339, 7, 7947, 2831, 5137, 10001, 3866, 1820, 5149, 13087, 8226, 10791, 2349, 13102, 7736, 8762, 829, 5696, 11584, 12098, 2628, 12612, 70, 844, 8269, 1102, 6223, 14415, 80, 78, 14669, 2896, 3674, 4189, 13409, 6506, 3436, 13677, 13942, 4985, 11130, 12411, 13438, 3716, 7046, 2953, 10637, 8848, 6292, 11157, 2200, 2715, 12444, 13213, 10399, 420, 171, 9647, 9912, 14780, 1725, 11198, 7871, 14533, 2502, 6861, 8660, 13525, 11482, 8925, 8927, 2277, 742, 4073, 11245, 1517, 13551, 14064, 10221, 242, 3058, 4596, 9720, 2041, 9723, 7165, 3070}","{1536, 14339, 7, 7947, 2831, 5137, 10001, 3866, 1820, 5149, 13087, 8226, 10791, 2349, 13102, 7736, 8762, 829, 5696, 11584, 12098, 2628, 12612, 70, 844, 8269, 1102, 6223, 14415, 80, 78, 14669, 2896, 3674, 4189, 13409, 6506, 3436, 13677, 13942, 4985, 11130, 12411, 13438, 3716, 7046, 2953, 10637, 8848, 6292, 11157, 2200, 2715, 12444, 13213, 10399, 420, 171, 9647, 9912, 14780, 1725, 11198, 7871, 14533, 2502, 6861, 8660, 13525, 11482, 8925, 8927, 2277, 742, 4073, 11245, 1517, 13551, 14064, 10221, 242, 3058, 4596, 9720, 2041, 9723, 7165, 3070}"
Xc9,{'11291'},"{5696, 11584, 12098, 3716, 2628, 8269, 2831, 143, 10001, 2896, 11157, 13525, 11482, 2715, 12444, 1820, 5149, 13087, 3674, 8925, 8927, 13409, 3436, 2349, 13677, 9647, 10221, 3058, 9720, 13498}","{5696, 11584, 12098, 3716, 2628, 8269, 2831, 143, 10001, 2896, 11157, 13525, 11482, 2715, 12444, 1820, 5149, 13087, 3674, 8925, 8927, 13409, 3436, 2349, 13677, 9647, 10221, 3058, 9720, 13498}"
Xcb,{'213'},{3124},"{5954, 12612, 1326, 6223, 942, 243, 6292, 3124, 13942}"
Xd0,{'8956'},"{5138, 4922}","{5138, 4922}"
Xd1,"{'9489', '9527'}","{4985, 5028}","{4985, 5028}"
Xd2,"{'1912', '1911'}",{2724},{2724}
Xd6,{'8891'},"{5872, 1309, 3125}","{5872, 1309, 3125}"
Xd7,{'9223'},"{712, 817, 987, 10709}","{817, 10709, 712, 987, 3149}"
Xd8,{'9180'},{3296},{3296}
Xda,{'1223'},{5256},"{5696, 1346, 1061, 5256, 7147, 13677, 4174, 1751, 5149, 8927}"
Xdb,{'4273'},{7959},{7959}
Xdc,{'4310'},"{9336, 2501, 10551}","{2501, 9061, 470, 9336, 10551}"
Xdd,{'3336'},{4220},{4220}
Xde,"{'2380', '2379'}","{12612, 6861, 6223, 5138, 6292, 3124, 13942, 889, 415}","{12612, 6861, 6223, 5138, 6292, 3124, 13942, 889, 415}"
Xdf,"{'1535', '1537', '1501', '1538', '1514', '1536'}",{5197},"{5868, 5197}"
Xe1,{'1870'},"{11444, 28}","{11444, 28}"
Xe3,{'4959'},"{3536, 13409, 3714, 8927, 3757, 143}","{3536, 13409, 3714, 8927, 3757, 143}"
Xe4,{'6293'},{4294},{4294}
Xea,{'4860'},{2263},"{2263, 8815}"
Xeb,"{'1240', '1239'}","{5664, 1251, 710, 4985, 1163, 13695}","{5664, 1251, 710, 4985, 1163, 13695}"
Xec,"{'6235', '6234'}","{12612, 2373, 714, 1165, 14064, 5137, 6292, 13942, 4985, 2041, 3070}","{12612, 2373, 714, 1165, 14064, 5137, 6292, 13942, 4985, 2041, 3070}"
Xf0,{'11236'},"{2277, 11114, 4596, 5529, 12411}","{1536, 4596, 2277, 12411, 5529, 11114, 171}"
Xf5,"{'11060', '11061'}","{1251, 949}","{1251, 949}"
Xf7,"{'11481', '11482'}","{761, 11373, 14158}","{761, 11373, 14158}"
Xfa,{'524'},"{457, 8158}","{457, 8158}"
Xfb,{'9229'},"{803, 1123, 2117, 196, 11130, 3070, 2927}","{803, 1123, 2117, 196, 11130, 3070, 2927}"
X100,{'11393'},"{2024, 92}","{2024, 92}"
X101,{'12080'},"{4264, 8637}","{4264, 8637}"
X102,"{'1770', '10919', '10922', '10923', '10921', '1773'}","{8546, 7046, 10791, 11245, 1102, 14415, 8660, 2361, 26, 1980, 11198}","{8546, 7046, 10791, 11245, 1102, 14415, 8660, 2361, 26, 1980, 11198}"
X103,{'2559'},"{2041, 8546}","{12612, 14533, 7046, 844, 6861, 1102, 6223, 8848, 14415, 6292, 8660, 10708, 3070, 3866, 4189, 8546, 742, 10791, 11245, 13551, 6832, 14064, 242, 13942, 2041, 11130, 829, 11198, 7871}"
X104,"{'11964', '12004', '12129', '12005', '12130', '11963'}","{162, 8698, 1291, 11245}","{162, 8698, 1291, 11245}"
X106,"{'1348', '1347'}","{5664, 1079, 679, 775, 573}","{5664, 1079, 679, 775, 573}"
X107,{'6384'},"{11584, 1743, 5149, 2301, 1468, 1852, 8925, 2878}","{11584, 1743, 5149, 2301, 1468, 1852, 8925, 2878}"
X10a,{'4519'},"{9474, 2748}","{3329, 9474, 2748, 4655}"
X10c,{'12068'},"{13720, 4069, 2423, 12311}","{13720, 4069, 2423, 12311}"
X10d,{'2685'},"{14080, 13129, 11114, 2349, 3821, 13677, 13525, 13498, 14780, 13695}","{14080, 1536, 14339, 7, 7947, 10637, 9723, 2200, 13213, 10399, 8226, 420, 296, 171, 2349, 7736, 9912, 8762, 13498, 14780, 1725, 70, 2502, 13129, 14669, 8269, 78, 80, 13525, 2277, 4073, 11114, 3819, 3821, 1517, 13677, 4596, 12411, 13695}"
X10f,{'696'},"{2426, 491}","{7665, 2426, 491, 2998}"
X112,{'3222'},{7751},{7751}
X113,"{'285', '2591', '286', '2590'}","{5137, 4987, 5100, 5023}","{5137, 4987, 5100, 5023}"
X117,{'9320'},{5125},{5125}
X118,{'9070'},{2722},{2722}
X119,{'8971'},"{1016, 2042, 11391}","{1016, 2042, 11391}"
X11a,{'8982'},"{243, 5844, 2237}","{243, 5844, 2237}"
X11b,{'7704'},"{7232, 1768, 1826}","{7232, 1768, 1826}"
X11c,{'11588'},{241},"{241, 3167}"
X124,"{'5397', '5399'}","{11584, 2628, 42, 2862, 2831, 2896, 3058, 1366, 11482, 2715, 12444, 5149, 13087}","{11584, 2628, 42, 2862, 2831, 2896, 3058, 1366, 11482, 2715, 12444, 5149, 13087}"
X12a,{'12048'},"{2976, 3265, 852, 2168, 3866}","{2976, 3265, 852, 2168, 3866}"
X12b,{'12272'},"{14080, 3716, 7, 2953, 2831, 10768, 10001, 11157, 2200, 2715, 1820, 5149, 12444, 13087, 8226, 166, 2349, 13102, 9647, 13498, 14780, 5696, 11584, 12098, 2628, 8269, 2896, 13525, 11482, 12891, 3674, 8925, 8927, 13409, 7147, 3436, 10221, 13677, 13552, 3058, 9720}","{14080, 3716, 7, 2953, 2831, 10768, 10001, 11157, 2200, 2715, 1820, 5149, 12444, 13087, 8226, 166, 2349, 13102, 9647, 13498, 14780, 5696, 11584, 12098, 2628, 8269, 2896, 13525, 11482, 12891, 3674, 8925, 8927, 13409, 7147, 3436, 10221, 13677, 13552, 3058, 9720}"
X12f,{'10386'},{2488},{2488}
X132,{'10283'},"{2083, 1575, 5256, 2171, 3661, 2575, 3666, 3607, 1850, 2555, 5149}","{2083, 1575, 5256, 2171, 3661, 2575, 3666, 3607, 1850, 2555, 5149, 2622}"
X133,{'6991'},"{5587, 2555, 3607}","{5587, 2555, 3607}"
X134,{'8400'},"{2113, 9636, 12948, 2186}","{2113, 9636, 12948, 2186}"
X136,{'7737'},"{2115, 10221}","{3716, 7, 2953, 2831, 10768, 10001, 11157, 2200, 2715, 1820, 5149, 12444, 13087, 8226, 2349, 13102, 9647, 13498, 14780, 2878, 5696, 11584, 12098, 2115, 2628, 8269, 2896, 13525, 11482, 3674, 8925, 8927, 13409, 10221, 13677, 13552, 3058, 9720}"
X138,{'8087'},"{1760, 3058, 3127, 9720, 217, 9647}","{1760, 3058, 3127, 9720, 217, 9647}"
X13b,{'10287'},"{5696, 12098, 2628, 2953, 2831, 1366, 2200, 2715, 12444, 1820, 12190, 13087, 8925, 8927, 1322, 13677, 3058, 13498, 2878}","{5696, 12098, 2628, 2953, 2831, 1366, 2200, 2715, 12444, 1820, 12190, 13087, 8925, 8927, 1322, 13677, 3058, 13498, 2878}"
X13c,{'9897'},"{4691, 38, 7736, 7947, 13213, 9583}","{4691, 38, 7736, 7947, 13213, 9583}"
X13d,{'3682'},{1108},{1108}
X13e,{'11674'},"{2209, 324, 1222}","{2209, 324, 1222}"
X13f,{'11307'},"{12674, 3716, 7, 5256, 2953, 2831, 10001, 5139, 11157, 2200, 2715, 1820, 5149, 12190, 12444, 13087, 8224, 8226, 2349, 13102, 9647, 12210, 13498, 14780, 2878, 5696, 11584, 12098, 2115, 8259, 2628, 11336, 12235, 8269, 2896, 13525, 11482, 12891, 3674, 8925, 8927, 13409, 10722, 3436, 10221, 13677, 13040, 13552, 3058, 9720}","{12674, 3716, 7, 5256, 2953, 2831, 10001, 5139, 11157, 2200, 2715, 1820, 5149, 12190, 12444, 13087, 8224, 8226, 2349, 13102, 9647, 12210, 13498, 14780, 2878, 5696, 11584, 12098, 2115, 8259, 2628, 11336, 12235, 8269, 2896, 13525, 11482, 12891, 3674, 8925, 8927, 13409, 10722, 3436, 10221, 13677, 13040, 13552, 3058, 9720}"
X140,{'8355'},"{3008, 3058}","{3008, 3058}"
X142,{'9195'},"{3064, 2554, 3246, 3070}","{3064, 2554, 3246, 3070}"
X143,{'9228'},"{2927, 10359}","{2927, 10359}"
X144,"{'9187', '9238'}","{1954, 901}","{1954, 901}"
X147,{'3639'},"{10399, 8102, 646, 14669, 2032, 1651, 1371, 4351}","{10399, 8102, 646, 14669, 2032, 1651, 1371, 4351}"
X14c,{'2441'},"{7440, 3322, 4704, 4695}","{7440, 3322, 4704, 4695}"
X14f,{'11932'},"{8848, 865, 1595, 4189}","{8848, 865, 1595, 4189}"
X151,{'6894'},"{3784, 8938}","{4602, 3784, 8938, 4619, 4558}"
X153,{'8779'},"{12329, 1045}","{12329, 1045}"
X154,{'8693'},"{6656, 6466, 6717, 599}","{6656, 6466, 6717, 599}"
X155,{'8933'},"{1258, 844, 919}","{1258, 844, 919}"
X156,"{'8881', '8916', '8885', '8930'}",{844},"{14064, 261, 742, 11130, 844}"
X157,"{'8864', '8863'}","{14064, 742, 744, 11130, 844, 1133}","{14064, 742, 744, 11130, 844, 1133}"
X158,{'8721'},{2041},"{14064, 947, 900, 2041, 844, 942}"
X159,"{'8660', '8665'}",{6655},"{1908, 728, 6858, 909, 6655}"
X15a,"{'3348', '3339'}",{269},{269}
X15f,{'10036'},"{4724, 4703}","{4724, 6132, 4703}"
X160,{'8978'},"{9753, 343}","{9753, 343}"
X162,"{'9067', '9065'}",{3070},"{49, 3070}"
X163,{'1736'},"{1064, 6697}","{1064, 6697}"
X166,{'11506'},"{384, 1443, 4596, 934, 588}","{384, 1443, 4596, 934, 588}"
X167,"{'11400', '11432'}",{12411},"{1536, 12411, 173}"
X169,{'11475'},"{11073, 2746}","{11073, 2746, 718, 14158}"
X16b,{'11267'},"{8224, 2067, 8686}","{8224, 2067, 8686}"
X16d,{'912'},"{11584, 2628, 2953, 8269, 2831, 2878, 2200, 11482, 2715, 12444, 285, 13087, 673, 8226, 13102, 3058, 1598}","{11584, 2628, 2953, 8269, 2831, 2878, 2200, 11482, 2715, 12444, 285, 13087, 673, 8226, 13102, 3058, 1598}"
X16e,{'7913'},"{9853, 1710}","{9853, 1710}"
X171,"{'12059', '12058', '11928'}","{792, 4075, 1140}","{792, 4075, 1140}"
X172,{'12051'},"{4129, 12373, 10092, 4189, 1118}","{4129, 12373, 10092, 4189, 1118}"
X173,"{'8672', '8661'}","{6292, 1045, 1016, 2041, 2042}","{6292, 1045, 1016, 2041, 2042}"
X174,{'5396'},"{8259, 3371}","{3371, 1970, 8259, 3517}"
X175,{'8766'},"{14064, 742, 2041, 11130, 27, 844}","{14064, 742, 2041, 11130, 27, 844}"
X176,{'11580'},"{6098, 3108}","{6098, 3108, 277, 3167}"
X179,"{'10870', '10871'}",{3637},"{3847, 3637, 11591}"
X17a,"{'8273', '8272'}","{8660, 4}","{1980, 8660, 4, 1151}"
X17e,"{'12014', '12023'}","{4129, 488, 8848, 3866, 1403, 4189}","{8848, 4129, 752, 488, 3866, 1403, 4189}"
X17f,{'6684'},"{2610, 2611}","{2610, 2611}"
X181,"{'1211', '1209'}","{3436, 1596}","{3436, 1596}"
X186,"{'9230', '9243'}","{14064, 13083, 742}","{14064, 13083, 405, 742}"
X189,{'2085'},{144},{144}
X18a,{'12015'},"{4129, 8848, 3866, 1403, 349, 4189}","{8848, 4129, 752, 4189, 3866, 1403, 349}"
X18b,{'11380'},"{6450, 6015}","{6450, 6015}"
X18d,{'4029'},"{3297, 1186, 2821, 3606, 7736, 651, 2861}","{3297, 1186, 2821, 3606, 7736, 651, 2861}"
X18f,{'5368'},"{1944, 6705, 1662, 9422}","{1944, 6705, 1662, 9422}"
X190,{'11504'},"{3349, 3166}","{3349, 3166}"
X191,{'11507'},"{13473, 2502, 171, 7947, 9912, 7736, 8762, 9723}","{13473, 14339, 420, 70, 2502, 296, 171, 7947, 9912, 78, 80, 7736, 8762, 9723}"
X197,{'2070'},"{8216, 3760}","{8216, 3760}"
X19e,{'3810'},"{6001, 12483, 7763, 5381, 8123}","{6001, 12483, 7763, 5381, 8123}"
X19f,{'4006'},"{8419, 10551}","{1536, 8419, 1517, 9583, 1425, 4596, 277, 10551, 7736, 13213}"
X1a2,{'3828'},"{8128, 14675, 612, 6040, 14685}","{8128, 14675, 612, 6040, 14685}"
X1a3,"{'2547', '2545'}",{753},"{7362, 6506, 106, 1233, 753, 1305, 7517, 7165, 13438}"
X1a4,{'7033'},{1564},{1564}
X1a5,{'7032'},"{4323, 4052}","{4323, 4052}"
X1a6,{'7248'},"{1154, 10107, 9172}","{1154, 10107, 9172}"
X1a7,{'908'},"{69, 1852, 1767, 1709, 13525, 11157, 5945, 2586, 8508}","{69, 1852, 1767, 1709, 13525, 11157, 5945, 2586, 8508}"
X1ac,{'911'},{998},"{11584, 2628, 2953, 12235, 8269, 2831, 2878, 2200, 11482, 2715, 12444, 285, 13087, 8226, 998, 13102, 3058, 1598}"
X1ad,{'7093'},{5972},{5972}
X1b0,{'8069'},"{2293, 2566}","{2293, 2566}"
X1b1,{'9222'},"{3179, 747, 3216, 5465, 1338, 1340}","{3179, 939, 747, 1338, 3216, 5465, 730, 1340}"
X1b2,{'9214'},"{2117, 747, 817, 2322, 10709}","{817, 2322, 2117, 10709, 747, 3149}"
X1b3,{'9194'},"{5138, 2866, 2927}","{5138, 2866, 2927}"
X1b5,"{'12064', '12072'}","{7232, 1826, 1581}","{7232, 1826, 1581}"
X1b7,{'7707'},"{4129, 13604, 14533, 12804, 70, 13551, 242, 10708, 6007, 12442, 3866, 4189, 7871}","{4129, 13604, 14533, 12804, 70, 13551, 242, 10708, 6007, 12442, 3866, 4189, 7871}"
X1b9,{'901'},"{5555, 862}","{5555, 862}"
X1be,"{'9016', '8997', '9034'}",{13083},"{13083, 311, 1354, 1211, 3070}"
X1bf,{'217'},{5892},{5892}
X1c3,"{'8418', '8436', '8435', '1', '4108'}","{1536, 14339, 70, 2502, 7947, 10637, 9912, 14669, 78, 80, 9723, 9688, 5529, 13213, 10399, 8419, 420, 2277, 296, 4073, 171, 1517, 9583, 4596, 10551, 7736, 8762, 12411, 1725}","{1536, 14339, 70, 2502, 7947, 10637, 9912, 14669, 78, 80, 9723, 9688, 5529, 13213, 10399, 8419, 420, 2277, 296, 4073, 171, 1517, 9583, 4596, 10551, 7736, 8762, 12411, 1725}"
X1c4,{'12038'},"{8848, 4129, 3265, 3866, 349}","{8848, 4129, 3265, 3866, 349}"
X1c7,{'11160'},"{14339, 8102, 230, 9065, 425, 235, 6125, 13075, 1012, 2422}","{14339, 8102, 230, 9065, 425, 235, 6125, 13075, 1012, 2422}"
X1c8,{'2334'},"{8546, 10791, 1102, 14415, 9968, 8660, 2361, 26, 1980, 11198}","{8546, 10791, 1102, 14415, 9968, 8660, 2361, 26, 1980, 11198}"
X1cb,{'10233'},"{5696, 11584, 2628, 2953, 12235, 8269, 2831, 5139, 2200, 11482, 2715, 12444, 5149, 8925, 13087, 8226, 1598, 13102, 3058, 507, 2878}","{5696, 11584, 2628, 2953, 12235, 8269, 2831, 5139, 2200, 11482, 2715, 12444, 5149, 8925, 13087, 8226, 1598, 13102, 3058, 507, 2878}"
X1cd,{'6472'},{13113},"{13113, 2938, 217}"
X1ce,{'11283'},"{5770, 2090, 1845}","{5770, 2090, 1845}"
X1d0,{'12057'},"{994, 13604, 14533, 13551, 8848, 4189, 349, 7871}","{994, 13604, 14533, 13551, 8848, 4189, 349, 829, 7871}"
X1d1,{'12070'},"{3265, 13604, 4075, 5910, 792}","{4129, 3265, 13604, 4075, 8848, 5910, 792, 3866, 379, 4189, 7871}"
