Node,Mutants,Unique Tests,Tests
Xd3,{'48160'},"{19392, 40322, 6147, 17703, 7913, 20970, 5847, 25357, 2638, 2000, 5973, 4919, 8152, 3483}","{19392, 40322, 6147, 17703, 7913, 20970, 5847, 25357, 2638, 2000, 5973, 4919, 8152, 3483}"
Xd4,{'28332'},"{7120, 8500, 4117, 4310, 711, 1709}","{7120, 8500, 4117, 4310, 711, 1709}"
Xd8,{'58002'},{9753},{9753}
Xd9,{'10497'},{15387},{15387}
Xda,{'15169'},"{18145, 41546}","{18145, 41546}"
Xdb,{'55059'},"{13413, 12759, 12585, 12535, 13820}","{13413, 12759, 12585, 12535, 13820}"
Xde,{'49242'},{36317},{36317}
Xdf,{'45763'},"{32632, 32051}","{32632, 32051}"
Xe2,{'59231'},"{10480, 8705, 17874, 16232, 8830, 10399}","{10480, 8705, 17874, 16232, 8830, 10399}"
Xe4,{'56172'},"{12359, 14321, 13659, 11996, 14622, 12863}","{14321, 11996, 12359, 13659, 15628, 14622, 12863}"
Xec,{'32587'},"{1769, 5901, 11150, 5915, 13598}","{25489, 24786, 1769, 5915, 5901, 11150, 13598}"
Xef,{'41940'},"{33955, 34612, 29419, 29533, 29486}","{33955, 34612, 29419, 29533, 29486}"
Xf0,{'28752'},"{18882, 17188, 17233, 26131, 34266}","{17233, 18882, 29042, 17188, 26131, 34266}"
Xf2,{'2760'},"{15157, 16794, 22395, 15054, 16175}","{15157, 16794, 22395, 15054, 16175}"
Xf3,{'43618'},"{5218, 30237, 6702}","{5218, 29958, 2680, 38458, 4780, 30237, 6702}"
Xf4,"{'42829', '42830'}","{35665, 14468, 12072, 13530, 12046}","{35665, 14468, 12072, 13530, 12046}"
Xf5,"{'33101', '33098'}","{2433, 33955, 9223, 744, 29230, 6039, 32755, 34004, 34612, 10805, 8181, 1653, 12062}","{2433, 33955, 9223, 4039, 744, 29230, 6039, 32755, 34004, 34612, 10805, 8181, 1653, 12062}"
Xf7,{'53065'},"{19263, 21767}","{19263, 21767}"
Xf8,{'58855'},"{15361, 23238, 11291, 10698, 14991, 18928, 15700, 2072, 35867}","{15361, 23238, 11291, 10698, 14991, 18928, 15700, 2072, 35867, 18046}"
Xf9,{'55539'},"{14725, 15557, 15014}","{15376, 15014, 15557, 14725}"
Xfa,{'1809'},"{6948, 4295, 9449, 5417, 2283, 18828, 21068, 688, 733, 15135}","{6948, 4295, 9449, 5417, 2283, 18828, 21068, 688, 6324, 733, 15135}"
Xfb,{'28340'},"{7120, 4835, 18757, 23803, 5787}","{7120, 4835, 18757, 23803, 5787}"
Xfc,{'38989'},"{13930, 22484, 26965}","{8352, 7680, 10182, 13930, 8300, 8752, 9394, 22484, 26965, 9307}"
Xfd,{'39823'},"{3844, 38953, 1354, 6002, 566, 3831, 1628}","{3844, 38953, 1354, 6002, 1525, 566, 3831, 1628}"
Xfe,{'53501'},"{36132, 325, 4262, 4702, 14316, 40726, 9462, 5560, 3546, 36603, 21374}","{36132, 325, 4262, 4702, 14316, 40726, 9462, 5560, 3546, 36603, 21374}"
Xff,"{'20626', '20627'}","{16718, 25812, 16868, 16726}","{29042, 16868, 25812, 16726, 16718}"
X100,{'9895'},"{19025, 16585, 16314, 34300, 31565, 29806}","{19025, 16585, 16314, 34300, 31565, 29806}"
X101,"{'23912', '7920'}",{40603},{40603}
X104,{'43525'},"{36132, 325, 36135, 14316, 4077, 32111, 9462, 5560, 4702}","{36132, 325, 36135, 14316, 4077, 32111, 9462, 5560, 36379, 4702}"
X105,"{'38720', '38723'}","{36132, 16068, 35465, 40726, 36603, 17276}","{16068, 4100, 35465, 11858, 22484, 19796, 26965, 40726, 11039, 8352, 7073, 36132, 20072, 13930, 689, 9394, 36603, 17276}"
X107,{'34291'},{34500},{34500}
X108,{'35371'},"{33955, 27427, 34612, 29230, 29165, 29486}","{33955, 27427, 34612, 29230, 29165, 29486}"
X10a,"{'26697', '26699'}","{19392, 22339, 8679, 20970, 16842, 11572, 5240, 35867, 8316, 23294}","{19392, 22339, 8679, 20970, 16842, 11572, 5240, 35867, 8316, 23294}"
X111,"{'35228', '29472'}",{28885},{28885}
X112,{'8308'},"{23298, 17806}","{23298, 17806}"
X114,{'26430'},"{4032, 6969, 4242, 5723}","{4032, 6969, 4242, 5723}"
X116,{'6214'},{4685},{4685}
X117,{'43121'},"{240, 39761, 6994, 3331, 3363, 3728, 158}","{240, 39761, 6994, 3331, 3363, 3728, 158}"
X118,{'29585'},"{28758, 35474, 36412, 34922}","{28758, 35474, 36412, 34922}"
X11a,"{'47919', '59672', '17848'}","{19392, 14991, 15013, 14903, 15567}","{19392, 14991, 15013, 14903, 15567}"
X11b,{'26418'},"{20129, 18135}","{20129, 18135}"
X11f,{'2765'},"{11291, 9976, 17067, 16028, 15597, 23294}","{11291, 9976, 17067, 16028, 15597, 23294}"
X123,"{'4140', '4141'}","{16378, 16459}","{16378, 16459}"
X125,{'4631'},"{8194, 16792, 2822, 6686, 19796, 31992, 14392, 3770, 7966, 5375}","{8194, 16792, 2822, 6686, 19796, 31992, 14392, 3770, 7966, 5375}"
X126,{'13645'},"{338, 5668, 314, 5467, 2508}","{338, 5668, 314, 5467, 2508}"
X127,{'54389'},{29859},{29859}
X12a,{'46303'},{16316},"{16994, 16316, 32918}"
X12b,{'56110'},"{14019, 10988, 10193, 7481, 7868}","{10193, 7868, 14019, 10988, 7481, 15628}"
X12c,{'7465'},"{10418, 9798, 14530, 10430}","{10418, 9798, 14530, 10430}"
X12e,"{'5189', '21903', '21905', '21904', '5188'}",{5814},"{14215, 12297, 35465, 13844, 40726, 26270, 8352, 32546, 36132, 4004, 14508, 14125, 26288, 29872, 9394, 2995, 5814, 698, 21563, 31992, 16068, 20555, 2512, 11858, 22484, 19796, 4180, 26965, 32085, 33492, 29797, 20072, 1386, 13930, 28397, 7919, 32248, 36603, 17276, 21374}"
X12f,{'5186'},"{19546, 21995}","{19546, 21995, 4125}"
X130,{'22132'},"{15585, 11582}","{15585, 11582}"
X131,"{'22211', '13825'}","{8656, 11995, 12053}","{8656, 11995, 12053}"
X132,{'5694'},{36420},"{36465, 36572, 36420}"
X133,{'23902'},"{16872, 16994}","{16872, 16994}"
X134,"{'19132', '19133'}","{29286, 29032, 26574, 28947, 29628, 27677}","{28850, 28947, 29286, 29032, 29628, 27677, 26574}"
X138,{'21870'},"{676, 3655, 21416, 3018, 941, 1774, 5711, 3919, 6449, 5170, 4766}","{676, 3655, 21416, 3018, 941, 1774, 5711, 3919, 6449, 5170, 4766}"
X139,{'12539'},"{18928, 23238, 2072, 9402, 7628, 23294}","{18928, 23238, 2072, 9402, 7628, 23294}"
X13b,{'21744'},"{37681, 1763, 4574, 172, 4621, 1357, 3711}","{37681, 1763, 4574, 172, 4621, 1357, 3711}"
X13c,{'59236'},"{7558, 9897, 9770, 8809, 8397, 10926, 10902, 13727}","{7558, 9897, 9770, 8809, 8397, 10926, 10902, 13727}"
X13d,{'53692'},{36350},"{36213, 36358, 36406, 40726, 36603, 36284, 36350}"
X13e,{'24792'},{13375},{13375}
X141,{'134'},{709},{709}
X143,"{'23892', '797'}",{29230},"{17326, 29230, 34004, 29576, 16718, 16543}"
X144,{'38488'},{40871},{40871}
X148,{'52809'},"{3235, 2886, 1052, 34478, 623, 4117, 23803, 3196}","{3235, 2886, 1052, 34478, 623, 4117, 23803, 3196}"
X14a,{'29249'},"{38208, 1, 2, 198, 5703, 29576, 3831, 2892, 34004, 87, 1628, 12062, 4446, 4770, 33955, 4706, 30820, 21416, 38953, 4329, 29230, 2354, 2483, 34612, 8500, 16822, 32755, 41845, 2366}","{38208, 1, 2, 198, 5703, 29576, 3831, 2892, 34004, 87, 1628, 12062, 4446, 4770, 33955, 4706, 30820, 21416, 38953, 4329, 29230, 2354, 2483, 34612, 8500, 16822, 32755, 41845, 2366}"
X14b,{'54261'},"{18154, 17916, 17806, 17999}","{18154, 17916, 17806, 17999}"
X14d,{'33005'},"{2065, 178, 3570, 17070, 10797, 38797, 38287}","{2065, 178, 3570, 17070, 10797, 38797, 38287}"
X14f,{'28133'},"{36132, 4004, 20072, 11437, 26288, 1712, 40726, 16792, 36603}","{36132, 4004, 20072, 11437, 26288, 1712, 40726, 16792, 36603}"
X150,{'45035'},"{29508, 29781, 29590}","{29508, 29781, 29590}"
X153,"{'43992', '43993'}","{2496, 12297, 20555, 4652, 14125, 28397, 4180, 312, 21563}","{2496, 12297, 20555, 4652, 14125, 28397, 4180, 312, 21563}"
X157,{'54260'},"{17264, 17063, 18527, 18399}","{17264, 17063, 18527, 18399}"
X15b,{'27138'},"{36393, 35690, 36603, 34903}","{36340, 35301, 40726, 34903, 36393, 35690, 36603}"
X15c,{'21462'},"{25489, 914, 18358, 2392, 7868}","{25489, 914, 18358, 2392, 7868}"
X15e,{'18370'},{1478},"{5248, 3, 14215, 29576, 12297, 1784, 25489, 12062, 414, 32546, 33955, 21417, 14125, 29230, 17326, 4145, 34612, 36665, 21563, 2366, 18241, 198, 1478, 20555, 2252, 35665, 4180, 32085, 34004, 18395, 18399, 29797, 745, 28397, 22129, 32755, 31992}"
X160,{'50464'},{18501},{18501}
X161,"{'54826', '54825'}","{19392, 13366, 14903, 25357, 14991}","{19392, 13366, 14903, 25357, 14991}"
X162,"{'5427', '4820'}","{38807, 29809, 35221, 29223, 28793, 35279}","{38807, 29809, 35221, 29223, 28793, 35279}"
X164,{'41699'},{13711},{13711}
X165,{'58945'},"{10552, 12569, 35434}","{10552, 12569, 35434}"
X166,"{'29648', '29649'}","{19392, 16160, 9922, 288, 11460, 10789, 25357, 9229, 14991, 14903}","{19392, 16160, 9922, 288, 11460, 10789, 25357, 9229, 14991, 14903}"
X16a,{'9390'},"{15763, 15166}","{15058, 15763, 15788, 15166}"
X16d,{'58493'},{3175},"{3175, 21416, 38953, 5129, 2219, 4907, 3474, 8500, 1628}"
X16e,{'21901'},"{4002, 32546, 2995, 26965, 4279, 1386}","{4002, 32546, 2995, 26965, 4279, 1386}"
X16f,{'41385'},"{6660, 16068, 35465, 11858, 22484, 19796, 40726, 33492, 26965, 8352, 6050, 36132, 2021, 20072, 13930, 1386, 14508, 9394, 3770, 36603, 17276, 21374}","{6660, 16068, 35465, 11858, 22484, 19796, 40726, 33492, 26965, 8352, 6050, 36132, 2021, 20072, 13930, 1386, 14508, 9394, 3770, 36603, 17276, 21374}"
X172,{'55136'},"{15570, 17075, 17469, 9015}","{15570, 17075, 17469, 9015}"
X173,{'16821'},{12370},{12370}
X174,{'59477'},"{9777, 9762, 8086, 7290, 20970, 17067, 17517}","{9777, 9762, 8086, 7290, 20970, 17067, 17517}"
X175,{'46252'},"{9833, 7532, 15693, 24048, 23538, 24917, 7768, 10266}","{9833, 7532, 15693, 24048, 23538, 24917, 7768, 10266}"
X177,{'18551'},"{36350, 34903}","{36340, 36350, 34903}"
X179,{'31028'},"{1, 31234, 3844, 5703, 1354, 267, 25489, 23317, 87, 18395, 31451, 5918, 23200, 676, 21416, 38953, 4329, 31152, 30769, 8500, 38458}","{1, 31234, 3844, 5703, 1354, 267, 25489, 23317, 87, 18395, 31451, 5918, 23200, 676, 21416, 38953, 4329, 31152, 30769, 8500, 38458}"
X17a,{'59444'},"{10344, 11221, 15038}","{10344, 10539, 11221, 15038}"
X17b,{'41997'},"{3554, 4386, 7144, 38953, 5129, 4624, 8500, 9398, 6969, 4443}","{3554, 4386, 7144, 38953, 5129, 4624, 8500, 9398, 6969, 4443}"
X17d,{'39876'},"{23410, 12939}","{23410, 12939}"
X17e,{'53064'},"{7898, 40858, 9899, 22327}","{7898, 40858, 9899, 22327}"
X17f,{'32466'},{7514},"{7514, 11518}"
X180,{'17286'},"{32818, 5787, 5333}","{32818, 5787, 5333}"
X182,{'9507'},"{16068, 29797, 40726, 12362, 36603}","{16068, 29797, 40726, 12362, 36603}"
X186,{'59241'},"{29510, 17942}","{29510, 17942}"
X187,{'27399'},"{36316, 36268, 40726, 36335}","{36316, 36268, 40726, 36335}"
X18a,{'28347'},"{7120, 25521, 22388, 4310, 711, 6492, 4335}","{7120, 25521, 22388, 4310, 711, 6492, 4335}"
X18b,{'54759'},"{15201, 12587, 25357, 12971}","{15201, 16115, 25357, 12587, 12971}"
X18c,{'31566'},{20574},{20574}
X18d,"{'7469', '7467'}","{19392, 5345, 7671, 13413, 15784, 11387, 25357, 8304, 14071, 35867, 16028, 15166}","{19392, 5345, 7671, 13413, 15784, 11387, 25357, 8304, 14071, 35867, 16028, 15166}"
X18e,{'38986'},"{20072, 11089, 11858, 19796, 26965, 7349, 765, 11039}","{20072, 11089, 11858, 19796, 26965, 7349, 765, 11039}"
X18f,{'34269'},{40130},"{25129, 40130, 25319}"
X190,{'24901'},{10002},"{9634, 10002, 23525, 25102, 8282, 11371, 17070}"
X195,{'38078'},{6626},{6626}
X196,{'42287'},"{22224, 18146, 18167}","{22224, 18146, 23525, 18167}"
X198,{'32319'},"{5801, 6315, 5875}","{31234, 2, 12297, 1784, 13844, 40726, 12062, 32546, 36132, 38953, 14125, 29230, 4145, 34612, 8500, 36665, 38458, 21563, 5436, 2366, 38208, 18241, 5703, 20555, 2892, 35665, 11858, 4180, 19796, 26965, 32085, 1628, 4706, 29797, 20072, 13930, 1386, 22129, 41845, 17276, 21374, 14215, 29576, 35465, 41866, 25489, 26270, 4766, 8352, 4770, 33955, 676, 21416, 5801, 21417, 6315, 14508, 17326, 26288, 29872, 9394, 16068, 198, 32248, 24777, 2512, 33492, 34004, 22484, 18395, 18399, 41957, 487, 4329, 745, 28397, 7919, 5875, 32755, 3831, 31992, 36603}"
X19a,{'41765'},"{29872, 13844}","{36132, 325, 4702, 1386, 3502, 29872, 1681, 13844, 26965, 40726, 5560, 36603, 21374}"
X19c,{'708'},"{1, 30820, 4123, 7913, 16842, 2483, 1012, 36665, 35867, 10172, 4446}","{1, 31234, 2, 5703, 16842, 15628, 2892, 40726, 35867, 4123, 1628, 4766, 4446, 4770, 4706, 36132, 676, 30820, 21416, 38953, 7913, 4329, 2483, 8500, 1012, 41845, 36665, 38458, 36603, 10172}"
X19e,{'53529'},"{18241, 18595, 17059, 17622, 36665, 18395, 17118}","{18241, 18595, 17059, 25489, 17845, 18358, 17622, 36665, 18395, 18204, 17118}"
X19f,{'38987'},"{20865, 27426, 28040, 27978, 27021, 24114, 21970, 27989}","{20865, 27426, 28040, 27978, 27021, 24114, 21970, 27989}"
X1a0,{'37833'},"{21056, 18496, 19394, 21955, 18918, 21645, 20021, 24119}","{21056, 18496, 19394, 21955, 18918, 21645, 20021, 24119}"
X1a1,{'37650'},"{25368, 21202, 9404, 20765}","{25368, 21202, 9404, 20765}"
X1a7,{'8606'},{26981},{26981}
X1a9,{'57611'},{34652},{34652}
X1ab,{'54806'},"{24166, 25903, 16337, 10419, 15700, 11573, 7668, 9784, 20475, 20061}","{24166, 25903, 16337, 10419, 15700, 11573, 7668, 9784, 20475, 20061}"
X1ac,{'50901'},"{8004, 3996, 9722, 35867, 8316}","{8004, 3996, 9722, 35867, 8316}"
X1ad,"{'5181', '5182'}","{20072, 11858, 16068, 29797}","{16068, 29797, 36132, 325, 20072, 4702, 1386, 3502, 1681, 11858, 26965, 40726, 5560, 36603, 21374}"
X1ae,{'15420'},"{8352, 7073, 4100, 20072, 8300, 8752, 689, 11858, 9394, 19796, 26965}","{8352, 7073, 4100, 20072, 8300, 8752, 689, 11858, 9394, 19796, 26965}"
X1af,{'22707'},"{22384, 15049, 13157, 35465, 12666, 22894, 15727}","{22384, 15049, 13157, 35465, 12666, 22894, 15727}"
X1b0,{'42657'},"{2754, 3118, 29872, 13844, 26965, 3515, 21374, 6655}","{2754, 3118, 29872, 13844, 26965, 3515, 21374, 6655}"
X1b1,{'58264'},"{7120, 8500, 38953, 5723, 2827, 1583}","{7120, 8500, 38953, 5723, 2827, 1583}"
